Jan Krupnik|Jan Skvrna|over|1783512600
Jan Krupnik|Tomas Kindl|over|1783793700
Jan Krupnik|Tomas Kindl|over|1783804800
Jan Krupnik|Tomas Krenek|over|1783782900
Jan Pleskot|Lubor Sulava|over|1783699200
Jan Skvrna|Radek Benes|over|1783509000
Jan Steffan|Tomas Regner|over|1783899000
Jan Szotkowski|Tadeas Zika|over|1783596600
Jan Szotkowski|Tadeas Zika|over|1783607400
Jan Szotkowski|Tomas Dousek|over|1783852200
Jan Vidourek|Richard Vavricka|over|1783712100
Jaroslav Sindler|Patrik Sturma|over|1783683600
Jaroslaw Rolak|Krzysztof Kotyl|over|1784067000
Jaroslaw Rolak|Krzysztof Kotyl|over|1784075700
Jerzy Michalik|Michal Machelski|under|1784836500
Jerzy Michalik|Michal Machelski|under|1784858100
Jerzy Michalik|Witold Stechly|under|1784535600
Jerzy Pelka|Lukasz Oracz|over|1784763300
Jerzy Pelka|Marian Lebek|under|1784276400
Jiri Ruzicka|Martin Huk|over|1783438200
Jiri Ruzicka|Michal Zahradka|over|1783420200
Jiri Ruzicka|Michal Zahradka|over|1783506600
Josef Braun|Karol Wisniewski|over|1784691900
Josef Braun|Patrik Klos|over|1784173500
Kacper Adamus|Marian Lebek|under|1783634400
Kacper Adamus|Rafal Gajda|over|1783488600
Kacper Adamus|Rafal Gajda|over|1783516200
Kacper Adamus|Rafal Gajda|over|1784113500
Kacper Adamus|Rafal Gajda|under|1784721300
Kacper Adamus|Sebastian Juzek|over|1784705400
Kamil Delikatny|Zbigniew Nocun|under|1783479900
Kamil Klocek|Michal Skorski|over|1784247000
Kamil Rudomina|Michal Minda|under|1784709000
Kamil Smolka|Rafal Gajda|over|1784724300
Kamil Smolka|Rafal Gajda|under|1784724300
Karol Guzy|Krzysztof Zapala|over|1783542600
Karol Guzy|Krzysztof Zapala|over|1783708200
Karol Sulkowski|Michal Minda|over|1783742400
Karol Sulkowski|Michal Minda|over|1783751100
Karol Sulkowski|Michal Minda|over|1784035800
Karol Sulkowski|Michal Minda|over|1784195400
Karol Sulkowski|Milosz Piecowski|over|1783567500
Karol Wisniewski|Miroslav Sklensky|under|1784544900
Kostiantyn Hrynenko|Oleksandr Melashenko|over|1783538700
Krystian Kolodziej|Krzysztof Kapik|over|1783524300
Krystian Kolodziej|Krzysztof Kapik|over|1783965900
Krystian Kolodziej|Szymon Sporek|over|1783521300
Krystian Kolodziej|Szymon Sporek|over|1783539600
Krzysztof Hetnar|Rafal Gajda|over|1784706900
Krzysztof Kapik|Szymon Sporek|over|1783533900
Krzysztof Kotyl|Piotr Staniszewski|over|1783713900
Krzysztof Kotyl|Wojciech Gluszek|under|1784670300
Krzysztof Wloczko|Martin Olejnik|under|1784640000
Ksenia Tymchenko|Olena Bondareva|under|1783703100
Kuba Golaszewski|Michal Skorski|over|1783545600
Ladislav Tuma|Oleh Plyska|over|1783670400
Libor Smazik|Lukas Provaznik|over|1783694700
Libor Smazik|Lukas Provaznik|over|1783954800
Lubos Forman|Milan Smesny|under|1783668600
Lukasz Oracz|Marian Lebek|under|1784169900
Lukasz Oracz|Marian Lebek|under|1784770500
Lukasz Oracz|Oliver Vincenec|under|1784176200
Lukasz Oracz|Oliver Vincenec|under|1784176800
Lukasz Oracz|Oliver Vincenec|under|1784695800
Lukasz Oracz|Oliver Vincenec|under|1784754600
Lukasz Oracz|Oliver Vincenec|under|1784782200
Lukasz Oracz|Patryk Mecik|over|1784188800
Maciej Kolek|Mateusz Rutkowski|over|1784754000
Maciej Kolek|Mateusz Rutkowski|over|1784762100
Maciej Nowalinski|Tibor Spanik|under|1784536200
Maciej Nowalinski|Tibor Spanik|under|1784550600
Maksymilian Rus|Rafal Gajda|over|1783426800
Maksymilian Rus|Rafal Gajda|over|1784629200
Maksymilian Rus|Rafal Gajda|over|1784637900
Marcin Kowalczyk|Miroslaw Piecowski|under|1784564100
Marcin Kowalczyk|Stanislaw Wnek|under|1784831400
Marcin Marchlewski|Mateusz Rutkowski|over|1784411100
Marcin Marchlewski|Mateusz Rutkowski|over|1784418900
